date,membership_tier,daily_visitors,new_registrations,inactive_members,net_change,return_rate,avg_ticket_price,daily_revenue,arpv,fast_pass_attachment_rate,avg_ancillary_spend,month,dow
2024-07-02,premium_pass,1724,396,34,362,0.7929,127.31,393090.7,228.01,0.5493,68.29,7,1
2024-07-02,vip_pass,261,53,5,48,0.8247,199.92,99835.35,382.51,0.9534,126.34,7,1
2024-07-03,standard_pass,3223,733,64,669,0.6289,74.59,480407.09,149.06,0.1598,65.04,7,2
2024-07-03,premium_pass,2033,358,40,318,0.7973,139.0,540393.56,265.81,0.6293,89.68,7,2
2024-07-03,vip_pass,291,69,5,64,0.8033,249.0,127826.45,439.27,0.9678,133.17,7,2
2024-07-04,standard_pass,3563,789,71,718,0.6763,79.0,536875.55,150.68,0.2936,54.36,7,3
2024-07-04,premium_pass,2230,352,44,308,0.7008,139.0,582637.06,261.27,0.5604,89.21,7,3
2024-07-04,vip_pass,357,60,7,53,0.8492,202.65,124774.08,349.51,0.9105,93.14,7,3
2024-07-05,standard_pass,4358,719,87,632,0.6483,79.0,635440.64,145.81,0.2442,52.4,7,4
2024-07-05,premium_pass,2480,536,49,487,0.7747,139.0,662853.93,267.28,0.6208,91.65,7,4
2024-07-05,vip_pass,379,85,7,78,0.8491,249.0,153534.39,405.1,0.8641,105.12,7,4
2024-07-06,standard_pass,5373,1287,107,1180,0.6419,79.0,789192.04,146.88,0.2497,53.15,7,5
2024-07-06,premium_pass,2730,459,54,405,0.7249,139.0,632967.07,231.86,0.4858,64.2,7,5
2024-07-06,vip_pass,435,88,8,80,0.8281,249.0,179491.76,412.62,0.8275,114.8,7,5
2024-07-07,standard_pass,4747,790,94,696,0.6537,79.0,685102.1,144.32,0.1696,55.32,7,6
2024-07-07,premium_pass,2937,633,58,575,0.8073,139.0,733052.68,249.59,0.6205,73.98,7,6
2024-07-07,vip_pass,387,58,7,51,0.844,220.75,148886.06,384.72,0.9453,108.2,7,6
2024-07-08,standard_pass,2633,653,52,601,0.6955,71.01,386342.22,146.73,0.2501,60.97,7,0
2024-07-08,premium_pass,1531,256,30,226,0.6977,139.0,403561.69,263.59,0.6091,88.66,7,0
2024-07-08,vip_pass,260,45,5,40,0.828,249.0,101953.0,392.13,0.9425,87.52,7,0
2024-07-09,standard_pass,2758,604,55,549,0.6044,79.0,396809.16,143.88,0.2083,52.59,7,1
2024-07-09,premium_pass,1794,333,35,298,0.7629,139.0,442718.23,246.78,0.6017,72.28,7,1
2024-07-09,vip_pass,245,56,4,52,0.7977,216.63,92644.16,378.14,0.8882,109.11,7,1
2024-07-10,standard_pass,3426,589,68,521,0.686,79.0,504142.77,147.15,0.1968,56.54,7,2
2024-07-10,premium_pass,1855,334,37,297,0.7557,139.0,437201.73,235.69,0.6025,61.14,7,2
2024-07-10,vip_pass,265,50,5,45,0.8436,249.0,109575.29,413.49,0.8709,113.11,7,2
2024-07-11,standard_pass,3531,553,70,483,0.6211,79.0,580937.64,164.52,0.2097,73.15,7,3
2024-07-11,premium_pass,2038,321,40,281,0.7714,139.0,522441.74,256.35,0.4775,89.18,7,3
2024-07-11,vip_pass,299,63,5,58,0.7888,212.46,110720.06,370.3,0.8845,105.66,7,3
2024-07-12,standard_pass,4427,955,88,867,0.645,79.0,618364.23,139.68,0.186,49.7,7,4
2024-07-12,premium_pass,2658,409,53,356,0.714,139.0,669428.64,251.85,0.5654,79.5,7,4
2024-07-12,vip_pass,337,67,6,61,0.8406,249.0,146037.61,433.35,0.9072,130.82,7,4
2024-07-13,standard_pass,5124,1091,102,989,0.6939,79.0,797532.45,155.65,0.1919,65.32,7,5
2024-07-13,premium_pass,2868,639,57,582,0.741,139.0,725428.36,252.94,0.5937,78.91,7,5
2024-07-13,vip_pass,444,85,8,77,0.852,249.0,190858.33,429.86,0.9093,127.21,7,5
2024-07-14,standard_pass,4796,965,95,870,0.6702,79.0,637640.31,132.95,0.1318,46.18,7,6
2024-07-14,premium_pass,2678,403,53,350,0.7952,139.0,681996.65,254.67,0.5454,83.49,7,6
2024-07-14,vip_pass,425,103,8,95,0.8704,249.0,185468.85,436.4,0.8963,134.52,7,6
2024-07-15,standard_pass,2580,542,51,491,0.6885,74.32,363640.44,140.95,0.2744,50.44,7,0
2024-07-15,premium_pass,1704,293,34,259,0.7635,139.0,397563.54,233.31,0.4865,65.61,7,0
2024-07-15,vip_pass,221,42,4,38,0.8417,213.88,79320.56,358.92,0.9326,90.01,7,0
2024-07-16,standard_pass,2736,591,54,537,0.616,79.0,379502.58,138.71,0.2372,45.71,7,1
2024-07-16,premium_pass,1885,466,37,429,0.7388,139.0,497922.34,264.15,0.5546,92.43,7,1
2024-07-16,vip_pass,248,38,4,34,0.8325,249.0,96268.32,388.18,0.894,86.43,7,1
2024-07-17,standard_pass,3261,492,65,427,0.6297,70.17,466473.19,143.05,0.2702,56.93,7,2
2024-07-17,premium_pass,2048,418,40,378,0.7785,139.0,536281.26,261.86,0.5289,91.65,7,2
2024-07-17,vip_pass,260,53,5,48,0.827,249.0,110963.87,426.78,0.8899,125.28,7,2
2024-07-18,standard_pass,3199,552,63,489,0.6467,79.0,513297.33,160.46,0.1752,71.12,7,3
2024-07-18,premium_pass,1810,309,36,273,0.6628,139.0,445122.99,245.92,0.5613,73.81,7,3
2024-07-18,vip_pass,283,47,5,42,0.8699,249.0,112322.39,396.9,0.9357,92.69,7,3
2024-07-19,standard_pass,3976,703,79,624,0.6154,79.0,530845.77,133.51,0.1324,46.7,7,4
2024-07-19,premium_pass,2262,427,45,382,0.7216,139.0,552173.0,244.11,0.6104,69.09,7,4
2024-07-19,vip_pass,383,91,7,84,0.7999,249.0,152467.28,398.09,0.8824,97.03,7,4
2024-07-20,standard_pass,5161,1200,103,1097,0.6794,79.0,739105.93,143.21,0.2461,49.69,7,5
2024-07-20,premium_pass,3049,567,60,507,0.7141,131.9,714133.09,234.22,0.6247,65.47,7,5
2024-07-20,vip_pass,456,112,9,103,0.8482,249.0,198303.28,434.88,0.9758,128.31,7,5
2024-07-21,standard_pass,4608,906,92,814,0.6106,79.0,700877.6,152.1,0.3083,54.91,7,6
2024-07-21,premium_pass,2842,668,56,612,0.7778,139.0,744900.78,262.1,0.6071,87.28,7,6
2024-07-21,vip_pass,362,83,7,76,0.8499,249.0,155450.62,429.42,0.8838,128.28,7,6
2024-07-22,standard_pass,2624,426,52,374,0.6364,79.0,413140.11,157.45,0.2647,62.83,7,0
2024-07-22,premium_pass,1697,370,33,337,0.6984,139.0,450573.87,265.51,0.6714,86.9,7,0
2024-07-22,vip_pass,224,49,4,45,0.8486,249.0,88554.52,395.33,0.8542,95.94,7,0
2024-07-23,standard_pass,2762,450,55,395,0.6822,71.9,389661.0,141.08,0.2363,55.24,7,1
2024-07-23,premium_pass,1759,427,35,392,0.7375,112.9,369734.6,210.2,0.4787,69.05,7,1
2024-07-23,vip_pass,228,48,4,44,0.8733,249.0,90417.43,396.57,0.8097,99.8,7,1
2024-07-24,standard_pass,3312,816,66,750,0.6987,79.0,479636.19,144.82,0.3176,47.08,7,2
2024-07-24,premium_pass,1717,360,34,326,0.7689,139.0,407836.1,237.53,0.568,65.01,7,2
2024-07-24,vip_pass,278,49,5,44,0.887,249.0,119154.07,428.61,0.9322,124.61,7,2
2024-07-25,standard_pass,3505,763,70,693,0.6465,66.42,461554.32,131.68,0.2326,51.54,7,3
2024-07-25,premium_pass,2038,434,40,394,0.7429,139.0,498656.36,244.68,0.5823,71.32,7,3
2024-07-25,vip_pass,291,59,5,54,0.8037,230.26,120573.51,414.34,0.9011,130.92,7,3
2024-07-26,standard_pass,4404,706,88,618,0.6961,79.0,610343.93,138.59,0.1872,48.55,7,4
2024-07-26,premium_pass,2245,496,44,452,0.7111,122.47,548318.45,244.24,0.5421,89.79,7,4
2024-07-26,vip_pass,389,80,7,73,0.8041,249.0,158465.98,407.37,0.9215,104.0,7,4
2024-07-27,standard_pass,5096,962,101,861,0.6401,79.0,709643.11,139.25,0.2094,47.9,7,5
2024-07-27,premium_pass,2722,677,54,623,0.7926,139.0,709695.83,260.73,0.4556,94.84,7,5
2024-07-27,vip_pass,422,97,8,89,0.7938,249.0,176705.41,418.73,0.8662,118.63,7,5
2024-07-28,standard_pass,4986,905,99,806,0.6602,70.06,728309.61,146.07,0.1731,65.8,7,6
2024-07-28,premium_pass,2919,657,58,599,0.75,139.0,753355.66,258.09,0.6342,81.67,7,6
2024-07-28,vip_pass,375,57,7,50,0.8162,249.0,159618.95,425.65,0.8331,127.5,7,6
2024-07-29,standard_pass,2677,435,53,382,0.7266,79.0,368533.2,137.67,0.1879,47.58,7,0
2024-07-29,premium_pass,1515,243,30,213,0.7854,139.0,397329.02,262.26,0.6939,82.32,7,0
2024-07-29,vip_pass,252,38,5,33,0.8891,249.0,101710.0,403.61,0.919,100.39,7,0
2024-07-30,standard_pass,3098,742,61,681,0.6604,79.0,470028.12,151.72,0.2843,55.94,7,1
2024-07-30,premium_pass,1816,357,36,321,0.768,139.0,441391.61,243.06,0.534,72.55,7,1
2024-07-30,vip_pass,273,41,5,36,0.8188,249.0,115458.92,422.93,0.9122,120.11,7,1
2024-07-31,standard_pass,3099,674,61,613,0.6928,79.0,457537.0,147.64,0.191,57.37,7,2
2024-07-31,premium_pass,2033,355,40,315,0.7565,139.0,495151.12,243.56,0.5311,73.22,7,2
2024-07-31,vip_pass,243,44,4,40,0.7925,249.0,106490.43,438.23,0.9211,134.89,7,2
2024-08-01,standard_pass,3149,584,62,522,0.6222,79.0,468314.9,148.72,0.208,57.44,8,3
2024-08-01,premium_pass,1813,391,36,355,0.8098,128.17,458697.79,253.0,0.541,92.92,8,3
2024-08-01,vip_pass,272,66,5,61,0.8277,249.0,112564.67,413.84,0.8602,114.09,8,3
2024-08-02,standard_pass,3938,723,78,645,0.6416,79.0,614980.07,156.17,0.1718,67.03,8,4
2024-08-02,premium_pass,2207,343,44,299,0.815,139.0,567036.73,256.93,0.6395,80.19,8,4
2024-08-02,vip_pass,324,74,6,68,0.8055,249.0,140587.31,433.91,0.9239,130.4,8,4
2024-08-03,standard_pass,4589,824,91,733,0.6478,79.0,709584.13,154.63,0.2162,62.87,8,5
2024-08-03,premium_pass,2504,610,50,560,0.7652,139.0,602010.23,240.42,0.6545,62.81,8,5
2024-08-03,vip_pass,388,82,7,75,0.8447,249.0,169557.86,437.0,0.9485,132.04,8,5
2024-08-04,standard_pass,4180,992,83,909,0.6631,79.0,658717.8,157.59,0.0934,73.08,8,6
2024-08-04,premium_pass,2727,540,54,486,0.7298,139.0,694210.77,254.57,0.5598,82.54,8,6
2024-08-04,vip_pass,367,57,7,50,0.8552,249.0,146693.44,399.71,0.9304,95.82,8,6
2024-08-05,standard_pass,2647,409,52,357,0.6628,79.0,393891.58,148.81,0.2409,55.59,8,0
2024-08-05,premium_pass,1656,340,33,307,0.7633,139.0,426285.21,257.42,0.6351,80.95,8,0
2024-08-05,vip_pass,219,53,4,49,0.8982,249.0,92458.56,422.19,0.9645,116.28,8,0
2024-08-06,standard_pass,2886,486,57,429,0.6544,79.0,435411.92,150.87,0.1893,60.7,8,1
2024-08-06,premium_pass,1569,339,31,308,0.7467,139.0,372325.92,237.3,0.5398,66.46,8,1
2024-08-06,vip_pass,223,42,4,38,0.8262,249.0,91606.38,410.79,0.892,109.16,8,1
2024-08-07,standard_pass,2942,688,58,630,0.6506,64.04,399472.97,135.78,0.1614,62.22,8,2
2024-08-07,premium_pass,1780,423,35,388,0.7664,113.24,372391.77,209.21,0.5834,61.54,8,2
2024-08-07,vip_pass,235,47,4,43,0.8176,249.0,101232.7,430.78,0.9266,127.11,8,2
2024-08-08,standard_pass,3051,481,61,420,0.6473,69.34,410242.91,134.46,0.216,52.38,8,3
2024-08-08,premium_pass,1802,448,36,412,0.7596,119.17,420207.9,233.19,0.5866,79.42,8,3
2024-08-08,vip_pass,242,36,4,32,0.8646,249.0,100878.17,416.85,0.9893,109.48,8,3
2024-08-09,standard_pass,3949,601,78,523,0.6197,74.54,588314.26,148.98,0.1942,62.98,8,4
2024-08-09,premium_pass,2450,444,49,395,0.7082,114.93,576719.52,235.4,0.5517,87.91,8,4
2024-08-09,vip_pass,346,70,6,64,0.8545,209.68,126745.15,366.32,0.9176,102.5,8,4
2024-08-10,standard_pass,4951,1234,99,1135,0.6651,79.0,706469.36,142.69,0.2026,51.74,8,5
2024-08-10,premium_pass,2679,511,53,458,0.7321,139.0,672697.42,251.1,0.6339,74.7,8,5
2024-08-10,vip_pass,396,92,7,85,0.8402,225.05,147375.11,372.16,0.9341,92.0,8,5
2024-08-11,standard_pass,4443,910,88,822,0.6651,79.0,593946.33,133.68,0.0953,49.06,8,6
2024-08-11,premium_pass,2729,517,54,463,0.7325,139.0,673217.4,246.69,0.5213,76.93,8,6
2024-08-11,vip_pass,370,68,7,61,0.8749,249.0,154137.19,416.59,1.0,108.59,8,6
2024-08-12,standard_pass,2707,560,54,506,0.6704,67.4,396290.05,146.39,0.1794,68.41,8,0
2024-08-12,premium_pass,1582,278,31,247,0.7684,139.0,417953.19,264.19,0.6689,85.73,8,0
2024-08-12,vip_pass,228,45,4,41,0.8181,249.0,94948.27,416.44,0.8894,114.96,8,0
2024-08-13,standard_pass,2853,510,57,453,0.6499,79.0,451761.08,158.35,0.2086,67.04,8,1
2024-08-13,premium_pass,1501,312,30,282,0.7233,139.0,378711.58,252.31,0.5769,79.27,8,1
2024-08-13,vip_pass,232,46,4,42,0.8289,231.38,92722.5,399.67,0.9225,113.86,8,1
2024-08-14,standard_pass,3248,681,64,617,0.6411,79.0,546448.7,168.24,0.2856,72.39,8,2
2024-08-14,premium_pass,1783,299,35,264,0.725,139.0,431595.84,242.06,0.5481,70.72,8,2
2024-08-14,vip_pass,253,52,5,47,0.8876,202.48,87725.93,346.74,0.8589,93.59,8,2
2024-08-15,standard_pass,3192,547,63,484,0.6284,79.0,423848.92,132.78,0.1418,45.42,8,3
2024-08-15,premium_pass,1910,414,38,376,0.7468,139.0,495404.8,259.37,0.63,83.21,8,3
2024-08-15,vip_pass,274,66,5,61,0.8495,207.83,107108.41,390.91,0.9018,129.87,8,3
2024-08-16,standard_pass,3821,657,76,581,0.7115,79.0,610302.45,159.72,0.22,67.74,8,4
2024-08-16,premium_pass,2465,446,49,397,0.7095,139.0,627567.33,254.59,0.5592,82.6,8,4
2024-08-16,vip_pass,363,65,7,58,0.8508,249.0,159258.67,438.73,0.9567,133.28,8,4
2024-08-17,standard_pass,4587,748,91,657,0.6858,79.0,668893.52,145.82,0.2647,51.2,8,5
2024-08-17,premium_pass,2736,495,54,441,0.8069,139.0,652677.12,238.55,0.5326,68.13,8,5
2024-08-17,vip_pass,383,67,7,60,0.8479,249.0,155084.54,404.92,0.8883,103.51,8,5
2024-08-18,standard_pass,4746,1137,94,1043,0.6398,79.0,708919.39,149.37,0.2385,56.3,8,6
2024-08-18,premium_pass,2551,398,51,347,0.7203,139.0,622978.99,244.21,0.5782,71.09,8,6
2024-08-18,vip_pass,399,94,7,87,0.8535,249.0,169671.05,425.24,0.8984,123.23,8,6
2024-08-19,standard_pass,2489,545,49,496,0.6545,79.0,380995.2,153.07,0.2382,60.02,8,0
2024-08-19,premium_pass,1607,323,32,291,0.7392,139.0,419783.44,261.22,0.5436,90.15,8,0
2024-08-19,vip_pass,207,50,4,46,0.8658,249.0,88009.49,425.17,0.8571,125.6,8,0
2024-08-20,standard_pass,3099,561,61,500,0.6809,79.0,455933.47,147.12,0.2636,52.57,8,1
2024-08-20,premium_pass,1783,297,35,262,0.7522,139.0,468028.97,262.5,0.5725,89.72,8,1
2024-08-20,vip_pass,231,38,4,34,0.8354,249.0,98850.76,427.93,0.9815,121.02,8,1
2024-08-21,standard_pass,1677,352,33,319,0.6883,79.0,264654.26,157.81,0.2124,66.28,8,2
2024-08-21,premium_pass,899,210,17,193,0.7865,139.0,240135.5,267.11,0.6329,90.77,8,2
2024-08-21,vip_pass,145,23,2,21,0.858,235.11,59115.05,407.69,0.9089,118.96,8,2
2024-08-22,standard_pass,1813,321,36,285,0.6799,79.0,252016.27,139.01,0.1835,49.18,8,3
2024-08-22,premium_pass,929,189,18,171,0.7482,139.0,228456.49,245.92,0.5911,72.04,8,3
2024-08-22,vip_pass,147,28,2,26,0.8305,249.0,58548.59,398.29,0.9724,91.92,8,3
2024-08-23,standard_pass,2447,428,48,380,0.6564,79.0,361610.59,147.78,0.1919,57.45,8,4
2024-08-23,premium_pass,1281,292,25,267,0.7653,139.0,315707.33,246.45,0.5558,74.66,8,4
2024-08-23,vip_pass,184,32,3,29,0.8325,249.0,77795.66,422.8,1.0,114.8,8,4
2024-08-24,standard_pass,2862,553,57,496,0.6431,65.62,394926.12,137.99,0.251,57.56,8,5
2024-08-24,premium_pass,1433,214,28,186,0.7286,112.61,334904.07,233.71,0.6061,85.34,8,5
2024-08-24,vip_pass,235,45,4,41,0.831,249.0,94927.73,403.95,0.8679,103.74,8,5
2024-08-25,standard_pass,2571,570,51,519,0.6468,79.0,375054.0,145.88,0.1973,55.24,8,6
2024-08-25,premium_pass,1448,315,28,287,0.7842,139.0,338324.49,233.65,0.5814,60.35,8,6
2024-08-25,vip_pass,220,43,4,39,0.8297,249.0,93914.2,426.88,0.9348,122.73,8,6
2024-08-26,standard_pass,1413,288,28,260,0.6587,79.0,191503.22,135.53,0.1919,45.21,8,0
2024-08-26,premium_pass,851,147,17,130,0.7342,139.0,201073.5,236.28,0.6315,60.02,8,0
2024-08-26,vip_pass,119,20,2,18,0.8371,249.0,48223.4,405.24,0.8537,105.87,8,0
2024-08-27,standard_pass,1542,366,30,336,0.6495,79.0,220330.6,142.89,0.2658,48.2,8,1
2024-08-27,premium_pass,1005,156,20,136,0.7183,139.0,237026.69,235.85,0.5271,65.75,8,1
2024-08-27,vip_pass,139,22,2,20,0.8033,233.17,53222.62,382.9,0.936,94.51,8,1
2024-08-28,standard_pass,1781,364,35,329,0.6676,79.0,287420.75,161.38,0.1994,70.62,8,2
2024-08-28,premium_pass,881,177,17,160,0.7451,139.0,214928.38,243.96,0.5906,70.11,8,2
2024-08-28,vip_pass,136,25,2,23,0.7935,249.0,54009.51,397.13,0.928,93.38,8,2
2024-08-29,standard_pass,1699,340,33,307,0.6696,79.0,244732.55,144.05,0.2605,49.67,8,3
2024-08-29,premium_pass,1040,165,20,145,0.7121,116.91,248862.35,239.29,0.4903,93.45,8,3
2024-08-29,vip_pass,160,29,3,26,0.8467,227.72,59525.71,372.04,0.9133,90.43,8,3
2024-08-30,standard_pass,2446,460,48,412,0.6299,79.0,357597.99,146.2,0.2786,50.76,8,4
2024-08-30,premium_pass,1209,294,24,270,0.7855,118.18,271781.56,224.8,0.604,70.98,8,4
2024-08-30,vip_pass,191,35,3,32,0.8389,249.0,77199.77,404.19,0.8658,104.11,8,4
2024-08-31,standard_pass,2412,409,48,361,0.6266,79.0,366586.94,151.98,0.1688,63.03,8,5
2024-08-31,premium_pass,1578,293,31,262,0.7354,139.0,414741.19,262.83,0.6067,88.03,8,5
2024-08-31,vip_pass,203,32,4,28,0.8202,249.0,79557.86,391.91,0.9601,86.27,8,5
2024-09-01,standard_pass,1177,84,23,61,0.6543,79.0,172877.59,146.88,0.1911,56.6,9,6
2024-09-01,premium_pass,606,36,12,24,0.7339,139.0,140987.56,232.65,0.5668,60.21,9,6
2024-09-01,vip_pass,94,5,1,4,0.8442,249.0,40978.54,435.94,0.9093,133.29,9,6
2024-09-02,standard_pass,1138,115,22,93,0.6801,79.0,174542.04,153.38,0.2261,61.04,9,0
2024-09-02,premium_pass,662,40,13,27,0.7426,139.0,173160.1,261.57,0.6098,86.59,9,0
2024-09-02,vip_pass,97,11,1,10,0.8485,249.0,38335.68,395.21,0.9955,87.48,9,0
2024-09-03,standard_pass,679,56,13,43,0.6723,79.0,99973.67,147.24,0.1784,57.71,9,1
2024-09-03,premium_pass,403,47,8,39,0.7327,139.0,103369.3,256.5,0.435,91.83,9,1
2024-09-03,vip_pass,60,6,1,5,0.8138,249.0,26031.05,433.85,0.9733,127.42,9,1
2024-09-04,standard_pass,735,77,14,63,0.6548,79.0,119671.65,162.82,0.2486,69.15,9,2
2024-09-04,premium_pass,471,36,9,27,0.7463,139.0,116480.01,247.3,0.5515,75.76,9,2
2024-09-04,vip_pass,66,4,1,3,0.7959,249.0,27522.27,417.0,0.9444,112.28,9,2
2024-09-05,standard_pass,750,52,15,37,0.6465,79.0,128181.98,170.91,0.3032,74.02,9,3
2024-09-05,premium_pass,485,56,9,47,0.7235,139.0,118321.04,243.96,0.4506,78.38,9,3
2024-09-05,vip_pass,69,4,1,3,0.7989,249.0,26764.74,387.89,0.9127,85.05,9,3
2024-09-06,standard_pass,915,108,18,90,0.6726,79.0,137247.06,150.0,0.1606,61.52,9,4
2024-09-06,premium_pass,547,55,10,45,0.7956,139.0,147307.99,269.3,0.6129,94.14,9,4
2024-09-06,vip_pass,85,6,1,5,0.8129,249.0,33560.46,394.83,0.9298,90.97,9,4
2024-09-07,standard_pass,1135,121,22,99,0.6006,79.0,189610.58,167.06,0.2953,70.64,9,5
2024-09-07,premium_pass,664,73,13,60,0.7529,139.0,158800.89,239.16,0.5728,66.36,9,5
2024-09-07,vip_pass,96,5,1,4,0.8394,249.0,38671.14,402.82,1.0,94.82,9,5
2024-09-08,standard_pass,1068,56,21,35,0.6689,79.0,161750.21,151.45,0.1262,65.01,9,6
2024-09-08,premium_pass,652,76,13,63,0.76,139.0,158294.31,242.78,0.5885,69.06,9,6
2024-09-08,vip_pass,86,8,1,7,0.819,249.0,35640.26,414.42,0.8848,113.22,9,6
2024-09-09,standard_pass,685,42,13,29,0.6937,79.0,105760.68,154.4,0.1452,66.83,9,0
2024-09-09,premium_pass,425,43,8,35,0.7118,139.0,108867.13,256.16,0.599,81.82,9,0
2024-09-09,vip_pass,57,4,1,3,0.7683,249.0,22754.89,399.21,0.9378,94.88,9,0
2024-09-10,standard_pass,757,47,15,32,0.6462,79.0,111789.86,147.67,0.1787,58.13,9,1
2024-09-10,premium_pass,397,35,7,28,0.7665,139.0,99340.8,250.23,0.5703,77.58,9,1
2024-09-10,vip_pass,57,5,1,4,0.8291,249.0,24663.66,432.7,0.8927,131.03,9,1
2024-09-11,standard_pass,682,60,13,47,0.6468,74.72,104531.98,153.27,0.3052,60.54,9,2
2024-09-11,premium_pass,451,30,9,21,0.6689,113.41,106024.16,235.09,0.5485,89.31,9,2
2024-09-11,vip_pass,59,3,1,2,0.8773,220.74,21598.08,366.07,0.9214,90.96,9,2
2024-09-12,standard_pass,724,38,14,24,0.6476,79.0,103636.14,143.14,0.191,52.87,9,3
2024-09-12,premium_pass,458,24,9,15,0.8151,139.0,110220.02,240.66,0.5088,71.63,9,3
2024-09-12,vip_pass,64,3,1,2,0.8066,249.0,27892.95,435.83,0.907,133.31,9,3
2024-09-13,standard_pass,1102,121,22,99,0.698,79.0,174412.87,158.27,0.2601,63.92,9,4
2024-09-13,premium_pass,582,48,11,37,0.7257,139.0,156211.56,268.4,0.6278,92.36,9,4
2024-09-13,vip_pass,76,6,1,5,0.8361,249.0,30630.02,403.03,0.9583,97.49,9,4
2024-09-14,standard_pass,1139,124,22,102,0.671,63.39,180626.86,158.58,0.3607,73.91,9,5
2024-09-14,premium_pass,669,61,13,48,0.7571,139.0,168437.46,251.77,0.553,80.15,9,5
2024-09-14,vip_pass,90,8,1,7,0.815,249.0,38243.03,424.92,0.9913,117.43,9,5
2024-09-15,standard_pass,1224,114,24,90,0.6381,79.0,198264.3,161.98,0.1816,72.26,9,6
2024-09-15,premium_pass,695,67,13,54,0.7226,139.0,172440.96,248.12,0.5512,76.6,9,6
2024-09-15,vip_pass,89,8,1,7,0.8272,249.0,35150.78,394.95,0.9077,92.4,9,6
2024-09-16,standard_pass,737,47,14,33,0.6413,79.0,109575.95,148.68,0.2019,57.77,9,0
2024-09-16,premium_pass,397,20,7,13,0.7482,139.0,104297.28,262.71,0.5547,90.98,9,0
2024-09-16,vip_pass,51,4,1,3,0.8238,249.0,20257.59,397.21,0.958,91.68,9,0
2024-09-17,standard_pass,776,79,15,64,0.655,79.0,129092.84,166.36,0.2409,73.15,9,1
2024-09-17,premium_pass,397,29,7,22,0.7805,139.0,96336.15,242.66,0.6185,67.17,9,1
2024-09-17,vip_pass,63,6,1,5,0.8252,249.0,25304.65,401.66,0.8888,100.22,9,1
2024-09-18,standard_pass,829,78,16,62,0.6864,79.0,133975.71,161.61,0.1953,71.09,9,2
2024-09-18,premium_pass,412,47,8,39,0.7297,139.0,100434.5,243.77,0.5253,73.78,9,2
2024-09-18,vip_pass,64,5,1,4,0.8048,210.4,24039.05,375.61,0.9575,108.72,9,2
2024-09-19,standard_pass,745,55,14,41,0.6318,79.0,121513.4,163.11,0.2131,71.53,9,3
2024-09-19,premium_pass,433,39,8,31,0.7236,139.0,109506.5,252.9,0.6699,74.38,9,3
2024-09-19,vip_pass,66,3,1,2,0.8621,212.95,26725.9,404.94,0.9836,133.95,9,3
2024-09-20,standard_pass,992,84,19,65,0.6577,79.0,161041.57,162.34,0.2442,68.93,9,4
2024-09-20,premium_pass,630,51,12,39,0.6793,139.0,161344.08,256.1,0.5543,84.4,9,4
2024-09-20,vip_pass,76,8,1,7,0.807,249.0,31086.76,409.04,0.9183,105.86,9,4
2024-09-21,standard_pass,1264,81,25,56,0.6567,74.72,191874.15,151.8,0.2831,60.38,9,5
2024-09-21,premium_pass,657,54,13,41,0.737,139.0,157732.07,240.08,0.6197,64.52,9,5
2024-09-21,vip_pass,94,9,1,8,0.7837,249.0,38017.61,404.44,0.912,101.64,9,5
2024-09-22,standard_pass,1233,91,24,67,0.6497,79.0,202976.21,164.62,0.2353,71.73,9,6
2024-09-22,premium_pass,656,65,13,52,0.7584,139.0,156238.45,238.17,0.5545,66.45,9,6
2024-09-22,vip_pass,85,4,1,3,0.8156,249.0,35669.0,419.64,0.938,115.29,9,6
2024-09-23,standard_pass,662,34,13,21,0.6619,79.0,101831.32,153.82,0.2332,61.07,9,0
2024-09-23,premium_pass,390,30,7,23,0.7829,139.0,102286.62,262.27,0.5017,93.67,9,0
2024-09-23,vip_pass,56,4,1,3,0.8373,249.0,22344.8,399.01,0.8655,98.95,9,0
2024-09-24,standard_pass,700,83,14,69,0.6533,65.03,94045.23,134.35,0.1887,58.19,9,1
2024-09-24,premium_pass,417,28,8,20,0.7326,139.0,111042.18,266.29,0.5671,93.83,9,1
2024-09-24,vip_pass,64,4,1,3,0.8554,229.48,26663.02,416.61,0.9273,132.42,9,1
2024-09-25,standard_pass,694,42,13,29,0.6514,66.25,96728.57,139.38,0.2479,58.5,9,2
2024-09-25,premium_pass,458,46,9,37,0.8097,139.0,112607.61,245.87,0.694,65.92,9,2
2024-09-25,vip_pass,69,7,1,6,0.9053,249.0,28659.13,415.35,0.918,112.19,9,2
2024-09-26,standard_pass,829,71,16,55,0.6886,79.0,121627.58,146.72,0.1895,56.54,9,3
2024-09-26,premium_pass,451,36,9,27,0.7475,139.0,116291.22,257.85,0.6555,80.18,9,3
2024-09-26,vip_pass,64,6,1,5,0.8072,249.0,25548.48,399.19,0.8839,98.04,9,3
2024-09-27,standard_pass,909,86,18,68,0.5629,79.0,141677.33,155.86,0.2496,62.14,9,4
2024-09-27,premium_pass,630,37,12,25,0.7817,139.0,163130.27,258.94,0.5899,85.13,9,4
2024-09-27,vip_pass,81,4,1,3,0.7622,249.0,32223.28,397.82,0.8749,97.2,9,4
2024-09-28,standard_pass,1285,150,25,125,0.6275,79.0,208558.31,162.3,0.1577,74.0,9,5
2024-09-28,premium_pass,678,49,13,36,0.8085,139.0,176141.91,259.8,0.5936,85.78,9,5
2024-09-28,vip_pass,89,4,1,3,0.7828,249.0,36421.36,409.23,0.8589,109.55,9,5
